Dataset,Model,Attack,K-Ratio,Dynamic,Iteration,Accuracy,ASR,L0,Sparsity,L2,Linf,SSIM,PSNR,LPIPS,Time(s)
cifar10,Standard,Sparse-PGD,0.1,False,10,0.10000000149011612,0.8999999761581421,334.6000061035156,0.6732421815395355,0.6742677688598633,0.03137257695198059,0.9917958974838257,38.20519256591797,0.0003160270571243018,0.7534117698669434
cifar10,Standard,GreedyFool,0.1,False,10,0.0,1.0,377.0,0.6318359375,0.5527121424674988,0.031372569501399994,0.9928359985351562,39.99445343017578,0.00027901920839212835,0.5961029529571533
cifar10,Standard,Proposed-TopkPGD,0.1,True,1,0.800000011920929,0.20000000298023224,102.0,0.900390625,0.1366264820098877,0.007843163795769215,0.9994702935218811,52.16282653808594,1.2550003702926915e-05,0.5961790084838867
cifar10,Standard,Proposed-TopkPGD,0.1,True,2,0.4000000059604645,0.6000000238418579,130.6999969482422,0.8723632842302322,0.20773664116859436,0.015686294063925743,0.998877763748169,48.514862060546875,3.912470492650755e-05,0.7481608390808105
cifar10,Standard,Proposed-TopkPGD,0.1,True,3,0.20000000298023224,0.800000011920929,121.80000305175781,0.8810546845197678,0.2545756697654724,0.023529425263404846,0.9984228014945984,46.71592330932617,7.280043791979551e-05,0.7931859493255615
cifar10,Standard,Proposed-TopkPGD,0.1,True,4,0.10000000149011612,0.8999999761581421,138.1999969482422,0.8650390654802322,0.30961012840270996,0.0313725546002388,0.997761070728302,45.013267517089844,0.00011311548587400466,0.8380320072174072
cifar10,Standard,Proposed-TopkPGD,0.1,True,5,0.10000000149011612,0.8999999761581421,143.39999389648438,0.8599609434604645,0.3443363606929779,0.0313725620508194,0.9972149133682251,44.08607482910156,0.00014095348888076842,0.881479024887085
cifar10,Standard,Proposed-TopkPGD,0.1,True,6,0.10000000149011612,0.8999999761581421,121.30000305175781,0.8815429657697678,0.370172917842865,0.031372565776109695,0.996803343296051,43.46031951904297,0.0001586771395523101,0.9254920482635498
cifar10,Standard,Proposed-TopkPGD,0.1,True,7,0.10000000149011612,0.8999999761581421,123.0999984741211,0.8797851577401161,0.3917475640773773,0.031372569501399994,0.9964509606361389,42.96369552612305,0.00018956865824293345,0.9682059288024902
cifar10,Standard,Proposed-TopkPGD,0.1,True,8,0.10000000149011612,0.8999999761581421,112.0999984741211,0.8905273452401161,0.4018251299858093,0.03137257695198059,0.9962658286094666,42.747535705566406,0.00018983313930220902,1.0107309818267822
cifar10,Standard,Proposed-TopkPGD,0.1,True,9,0.10000000149011612,0.8999999761581421,119.80000305175781,0.8830078095197678,0.4094409942626953,0.03137257695198059,0.9960373640060425,42.58761978149414,0.00021088703942950815,1.0525767803192139
cifar10,Standard,Proposed-TopkPGD,0.1,True,10,0.10000000149011612,0.8999999761581421,112.5,0.89013671875,0.4139421582221985,0.03137257695198059,0.9959626793861389,42.49549865722656,0.00021355198987293988,1.093148946762085
