Dataset,Model,Attack,K-Ratio,Dynamic,Iteration,Accuracy,ASR,L0,Sparsity,L2,Linf,SSIM,PSNR,LPIPS,Time(s),NumSamples
cifar10,Robust,GreedyFool,0.7,False,10,0.4799999952316284,0.42992873383672675,852.7680034179688,0.1672187466621399,1.4574962635040283,0.03137257695198059,0.9709016523361206,31.60047427368164,0.006505183096975088,1.9154303073883057,1000
cifar10,Robust,Sparse-PGD,0.8,False,10,0.4829999952316284,0.4263657894242121,1004.2519965820312,0.019285159587860107,1.5745199174880982,0.03137257695198059,0.9654800934791565,30.928616638183595,0.007123489178717137,2.11696720123291,1000
cifar10,Robust,GreedyFool,0.8,False,10,0.4769999952316284,0.43349167623174445,929.6919985351562,0.09209765768051148,1.5379347267150878,0.03137257695198059,0.9677927021980286,31.133688079833984,0.0070253142230212685,1.9211852550506592,1000
cifar10,Robust,Sparse-PGD,0.9,False,10,0.47600000333786013,0.43467933042173995,1019.0889965820312,0.004795901775360108,1.6201210708618163,0.03137257695198059,0.9635017318725586,30.681597381591796,0.007487847007811069,2.1364331245422363,1000
cifar10,Robust,GreedyFool,0.9,False,10,0.47099999761581424,0.4406175747549166,989.980005859375,0.0332226505279541,1.6057057695388794,0.03137257695198059,0.9652008829116822,30.75893716430664,0.007447771612554789,1.938488483428955,1000
cifar10,Robust,Sparse-PGD,1.0,False,10,0.4769999952316284,0.4334916755592455,1021.9740034179688,0.0019785122871398926,1.633137357711792,0.03137257695198059,0.9628867230415344,30.611497467041016,0.0075896413400769235,1.905683994293213,1000
cifar10,Robust,GreedyFool,1.0,False,10,0.47200000333786013,0.4394299273960947,1021.8359931640625,0.002113287925720215,1.6513268728256225,0.03137257695198059,0.9632818760871887,30.51526089477539,0.007725673180073499,1.9406788349151611,1000
cifar10,Robust,Proposed-TopkPGD,0.1,True,1,0.8169999995231628,0.029691210992174165,101.999,0.9003916015625,0.13718617856502532,0.00784316286444664,0.9997279114723205,52.12800738525391,6.49634829023853e-05,2.0014376640319824,1000
cifar10,Robust,Proposed-TopkPGD,0.1,True,3,0.7589999976158142,0.09857482076434511,110.17999969482422,0.8924023440480232,0.3821231415271759,0.023529436871409418,0.9979905014038086,43.22827249145508,0.0005202421513386071,2.0014376640319824,1000
cifar10,Robust,Proposed-TopkPGD,0.1,True,5,0.7269999966621399,0.13657957352609362,105.0579994506836,0.8974042974114418,0.5125904431343079,0.03137257695198059,0.9964377422332764,40.67680661010742,0.0009225708208978177,2.0014376640319824,1000
cifar10,Robust,Proposed-TopkPGD,0.1,True,7,0.7269999966621399,0.13657957352609362,104.614,0.897837890625,0.5222936820983887,0.03137257695198059,0.9962852239608765,40.514329711914066,0.0009508515875786543,2.0014376640319824,1000
cifar10,Robust,Proposed-TopkPGD,0.1,True,10,0.7269999966621399,0.13657957352609362,104.44399963378906,0.8980039066076279,0.5252488384246826,0.03137257695198059,0.9962264204025268,40.46552670288086,0.0009565854864194989,2.0014376640319824,1000
cifar10,Robust,Proposed-TopkPGD,0.2,True,1,0.8070000019073487,0.041567695435499354,203.9919998779297,0.8007890626192092,0.19400141417980193,0.007843165181577206,0.9994468383789062,49.11811389160156,0.00013171642902307212,2.0227932929992676,1000
cifar10,Robust,Proposed-TopkPGD,0.2,True,3,0.7140000047683716,0.1520190029239145,220.9339991455078,0.784244141459465,0.5391400856971741,0.023529439732432364,0.9959780330657959,40.23866033935547,0.001042843719944358,2.0227932929992676,1000
cifar10,Robust,Proposed-TopkPGD,0.2,True,5,0.6520000019073486,0.22565320282820567,211.1379990234375,0.7938105478286743,0.7227056670188904,0.03137257695198059,0.9928935785293579,37.693314270019535,0.0018482793159782887,2.0227932929992676,1000
cifar10,Robust,Proposed-TopkPGD,0.2,True,7,0.6510000019073486,0.2268408534433383,210.45999987792968,0.7944726563692093,0.7380474171638489,0.03137257695198059,0.9925450253486633,37.51133102416992,0.0019042281750589608,2.0227932929992676,1000
cifar10,Robust,Proposed-TopkPGD,0.2,True,10,0.6500000019073486,0.22802850097913357,210.10900122070314,0.7948154284954071,0.7440306458473206,0.03137257695198059,0.9923810591697693,37.44142077636719,0.0019226873004809023,2.0227932929992676,1000
cifar10,Robust,Proposed-TopkPGD,0.3,True,1,0.8029999961853027,0.04631828837486033,306.973998046875,0.7002207050323487,0.2379700082540512,0.007843166589736938,0.9991519961357117,47.343761016845704,0.0001954976939596236,1.9974524974822998,1000
