EMA,Dynamic,Accuracy,ASR,L0,Sparsity
0.0,True,0.7234375,0.13708048686385155,104.553125,0.8978973388671875
0.0,False,0.721875,0.13794315457344056,101.996875,0.9003936767578125
0.5,True,0.72265625,0.13708048686385155,104.16171875,0.8982795715332031
0.5,False,0.721875,0.13794315457344056,101.996875,0.9003936767578125
0.9,True,0.72265625,0.13705029636621474,102.24609375,0.9001502990722656
0.9,False,0.721875,0.13794315457344056,101.996875,0.9003936767578125
